employee_id,first_name,last_name,role,clinic_id,qualification,salary,contact_number,email,,,,,,,
82,Sofia,Campbell,Receptionist,8,High school diploma,"$40,000.00 ",234-567-8901,sofia.campbell@example.com,,,,,,,
83,Ezra,Foster,Physician,8,"MD, General Surgery","$200,000.00 ",345-678-9012,ezra.foster@example.com,,,,,,,
84,Mia,Bennett,Nurse,9,"RN, BSN","$70,000.00 ",456-789-0123,mia.bennett@example.com,,,,,,,
85,Elijah,Murphy,Nurse,9,LPN,"$55,000.00 ",567-890-1234,elijah.murphy@example.com,,,,,,,
86,Harper,Perry,Receptionist,9,High school diploma,"$40,000.00 ",678-901-2345,harper.perry@example.com,,,,,,,
87,Lincoln,Cox,Physician,9,"MD, Orthopedics","$220,000.00 ",789-012-3456,lincoln.cox@example.com,,,,,,,
88,Grace,Campbell,Nurse,10,"RN, BSN","$70,000.00 ",890-123-4567,grace.campbell@example.com,,,,,,,
89,Logan,Richardson,Nurse,10,LPN,"$55,000.00 ",901-234-5678,logan.richardson@example.com,,,,,,,
90,Hazel,Murphy,Receptionist,10,High school diploma,"$40,000.00 ",012-345-6789,hazel.murphy@example.com,,,,,,,
91,Benjamin,Bennett,Physician,10,"MD, Ophthalmology","$210,000.00 ",123-456-7890,benjamin.bennett@example.com,,,,,,,
92,Evelyn,Hayes,Nurse,11,"RN, BSN","$70,000.00 ",234-567-8901,evelyn.hayes@example.com,,,,,,,
93,Oliver,Perry,Nurse,11,LPN,"$55,000.00 ",345-678-9012,oliver.perry@example.com,,,,,,,
94,Lily,Richardson,Receptionist,11,High school diploma,"$40,000.00 ",456-789-0123,lily.richardson@example.com,,,,,,,
95,Daniel,Cox,Physician,11,"MD, Urology","$220,000.00 ",567-890-1234,daniel.cox@example.com,,,,,,,phys
96,Aurora,Campbell,Nurse,12,"RN, BSN","$70,000.00 ",678-901-2345,aurora.campbell@example.com,,,,,,,
97,Elijah,Hayes,Nurse,12,LPN,"$55,000.00 ",789-012-3456,elijah.hayes@example.com,,,,,,,
98,Harper,Perry,Receptionist,12,High school diploma,"$40,000.00 ",890-123-4567,harper.perry@example.com,,,,,,,
99,Oliver,Richardson,Physician,12,"MD, Gastroenterology","$220,000.00 ",901-234-5678,oliver.richardson@example.com,,,,,,,
100,Chloe,Murphy,Nurse,13,"RN, BSN","$70,000.00 ",012-345-6789,chloe.murphy@example.com,,,,,,,
101,Emma,Foster,Nurse,14,"RN, BSN","$70,000.00 ",123-456-7890,emma.foster@example.com,,,,,,,
102,Liam,Murphy,Nurse,14,LPN,"$55,000.00 ",234-567-8901,liam.murphy@example.com,,,,,,,
103,Olivia,Perry,Receptionist,14,High school diploma,"$40,000.00 ",345-678-9012,olivia.perry@example.com,,,,,,,
104,Lucas,Richardson,Physician,14,"MD, Neurology","$220,000.00 ",456-789-0123,lucas.richardson@example.com,,,,,,,
105,Amelia,Campbell,Nurse,15,"RN, BSN","$70,000.00 ",567-890-1234,amelia.campbell@example.com,,,,,,,
106,Henry,Hayes,Nurse,15,LPN,"$55,000.00 ",678-901-2345,henry.hayes@example.com,,,,,,,
107,Mia,Perry,Receptionist,15,High school diploma,"$40,000.00 ",789-012-3456,mia.perry@example.com,,,,,,,
108,Oliver,Cox,Physician,15,"MD, Pediatrics","$190,000.00 ",890-123-4567,oliver.cox@example.com,,,,,,,
109,Ava,Richardson,Nurse,16,"RN, BSN","$70,000.00 ",901-234-5678,ava.richardson@example.com,,,,,,,
110,Noah,Murphy,Nurse,16,LPN,"$55,000.00 ",012-345-6789,noah.murphy@example.com,,,,,,,
111,Isabella,Foster,Receptionist,16,High school diploma,"$40,000.00 ",123-456-7890,isabella.foster@example.com,,,,,,,
112,William,Campbell,Physician,16,"MD, Family Medicine","$190,000.00 ",234-567-8901,william.campbell@example.com,,,,,,,
113,Sophia,Hayes,Nurse,17,"RN, BSN","$70,000.00 ",345-678-9012,sophia.hayes@example.com,,,,,,,
114,Benjamin,Perry,Nurse,17,LPN,"$55,000.00 ",456-789-0123,benjamin.perry@example.com,,,,,,,
115,Mia,Cox,Receptionist,17,High school diploma,"$40,000.00 ",567-890-1234,mia.cox@example.com,,,,,,,
116,Elijah,Richardson,Physician,17,"MD, Cardiology","$210,000.00 ",678-901-2345,elijah.richardson@example.com,,,,,,,
117,Harper,Murphy,Nurse,18,"RN, BSN","$70,000.00 ",789-012-3456,harper.murphy@example.com,,,,,,,
118,Jackson,Foster,Nurse,18,LPN,"$55,000.00 ",890-123-4567,jackson.foster@example.com,,,,,,,
119,Amelia,Hayes,Receptionist,18,High school diploma,"$40,000.00 ",901-234-5678,amelia.hayes@example.com,,,,,,,
120,Oliver,Campbell,Physician,18,"MD, Dermatology","$220,000.00 ",012-345-6789,oliver.campbell@example.com,,,,,,,
121,Emma,Perry,Nurse,19,"RN, BSN","$70,000.00 ",123-456-7890,emma.perry@example.com,,,,,,,
122,Liam,Cox,Nurse,19,LPN,"$55,000.00 ",234-567-8901,liam.cox@example.com,,,,,,,
123,Olivia,Richardson,Receptionist,19,High school diploma,"$40,000.00 ",345-678-9012,olivia.richardson@example.com,,,,,,,
124,Lucas,Murphy,Physician,19,"MD, Gastroenterology","$220,000.00 ",456-789-0123,lucas.murphy@example.com,,,,,,,
125,Amelia,Foster,Nurse,20,"RN, BSN","$70,000.00 ",567-890-1234,amelia.foster@example.com,,,,,,,
126,Emma,Perez,Physician,1,"MD, Psychiatry","$200,000.00 ",123-456-7890,emma.perez@example.com,,,,,,,
127,William,Torres,Physician,2,"MD, Neurology","$210,000.00 ",234-567-8901,william.torres@example.com,,,,,,,
128,Emily,Russell,Physician,3,"MD, Pediatrics","$180,000.00 ",345-678-9012,emily.russell@example.com,,,,,,,
129,Benjamin,Martinez,Physician,4,"MD, Cardiology","$210,000.00 ",456-789-0123,benjamin.martinez@example.com,,,,,,,
130,Amelia,Richardson,Physician,5,"MD, Obstetrics/Gynecology","$220,000.00 ",567-890-1234,amelia.richardson@example.com,,,,,,,
131,Daniel,Brooks,Physician,6,"MD, Dermatology","$220,000.00 ",678-901-2345,daniel.brooks@example.com,,,,,,,
132,Chloe,Foster,Physician,7,"MD, General Surgery","$200,000.00 ",789-012-3456,chloe.foster@example.com,,,,,,,
133,Lily,Cooper,Physician,8,"MD, Ophthalmology","$210,000.00 ",890-123-4567,lily.cooper@example.com,,,,,,,
134,Oliver,Griffin,Physician,9,"MD, Urology","$220,000.00 ",901-234-5678,oliver.griffin@example.com,,,,,,,
135,Sophia,Hayes,Physician,10,"MD, Gastroenterology","$220,000.00 ",012-345-6789,sophia.hayes@example.com,,,,,,,
136,Benjamin,Richardson,Physician,11,"MD, Hematology","$240,000.00 ",123-456-7890,benjamin.richardson@example.com,,,,,,,
137,Charlotte,Campbell,Physician,12,"MD, Pulmonology","$210,000.00 ",234-567-8901,charlotte.campbell@example.com,,,,,,,
138,Grace,Hayes,Physician,13,"MD, Infectious Disease","$230,000.00 ",345-678-9012,grace.hayes@example.com,,,,,,,
139,Oliver,Richardson,Physician,14,"MD, Allergy & Immunology","$220,000.00 ",456-789-0123,oliver.richardson@example.com,,,,,,,
140,Luke,Campbell,Physician,15,"MD, Nephrology","$220,000.00 ",567-890-1234,luke.campbell@example.com,,,,,,,
141,Mia,Perez,Physician,16,"MD, Psychiatry","$200,000.00 ",123-456-7890,mia.perez@example.com,,,,,,,
142,William,Torres,Physician,17,"MD, Neurology","$210,000.00 ",234-567-8901,william.torres@example.com,,,,,,,
143,Emily,Russell,Physician,18,"MD, Pediatrics","$180,000.00 ",345-678-9012,emily.russell@example.com,,,,,,,
144,Benjamin,Martinez,Physician,19,"MD, Cardiology","$210,000.00 ",456-789-0123,benjamin.martinez@example.com,,,,,,,
145,Amelia,Richardson,Physician,20,"MD, Obstetrics/Gynecology","$220,000.00 ",567-890-1234,amelia.richardson@example.com,,,,,,,
146,Daniel,Brooks,Physician,21,"MD, Dermatology","$220,000.00 ",678-901-2345,daniel.brooks@example.com,,,,,,,
147,Chloe,Foster,Physician,22,"MD, General Surgery","$200,000.00 ",789-012-3456,chloe.foster@example.com,,,,,,,
148,Lily,Cooper,Physician,23,"MD, Ophthalmology","$210,000.00 ",890-123-4567,lily.cooper@example.com,,,,,,,
149,Oliver,Griffin,Physician,24,"MD, Urology","$220,000.00 ",901-234-5678,oliver.griffin@example.com,,,,,,,
150,Sophia,Hayes,Physician,25,"MD, Gastroenterology","$220,000.00 ",012-345-6789,sophia.hayes@example.com,,,,,,,
151,Eric,Campbell,intern,20,"BS, Computer science",,,,,,,,,,
152,Karina ,Nentwig,,,,,,,,,,,,,
153,Andrei,,,,,,,,,,,,,,
154,Daniel,Azafrani,,,,,,,,,,,,,
155,Bryce,Brooks,,,,,,,,,,,,,
